method,consensus_n,consensus_covered,coverage,abstention_rate,selective_risk,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,f1,f1_ci_low,f1_ci_high,mcc,mcc_ci_low,mcc_ci_high,tp,tn,fp,fn,full_n,full_coverage,full_abstention_rate,unresolved_detection_precision,unresolved_detection_recall,unresolved_detection_f1
rule_only,743,393,0.5289367429340511,0.47106325706594887,0.10432569974554708,0.7948717948717948,0.7447916666666666,0.8457142857142858,0.9935897435897436,0.9794520547945206,1.0,0.8831908831908832,0.8504387281501835,0.9142895339954163,0.8071277231996192,0.7569849420978318,0.855789350589986,155,197,40,1,900,0.4444444444444444,0.5555555555555556,0.3,0.9554140127388535,0.45662100456621
qwen_only,743,704,0.9475100942126514,0.052489905787348586,0.017045454545454544,0.9719298245614035,0.9518900343642611,0.9893238434163701,0.9857651245551602,0.9715302491103203,0.99644128113879,0.9787985865724383,0.9662522202486677,0.9893992932862191,0.9646153516645598,0.9436102541997399,0.9823425918402909,277,415,8,4,900,0.8922222222222222,0.10777777777777778,0.5979381443298969,0.36942675159235666,0.4566929133858267
hybrid,743,659,0.8869448183041723,0.11305518169582772,0.06980273141122914,0.8694267515923567,0.8364197530864198,0.9022801302931596,0.9820143884892086,0.96415770609319,0.9964028776978417,0.9222972972972973,0.9018302828618967,0.9417808219178082,0.8646136222494558,0.8282027813117139,0.8987938077762655,273,340,41,5,900,0.7777777777777778,0.2222222222222222,0.58,0.7388535031847133,0.6498599439775911
hybrid_forced_reject,743,743,1.0,0.0,0.06594885598923284,0.8694267515923567,0.8364197530864198,0.9022801302931596,0.9715302491103203,0.9501779359430605,0.9893238434163701,0.9176470588235294,0.8963210702341136,0.9379310344827587,0.8666344474963985,0.831710143827882,0.8997586343631553,273,421,41,8,900,1.0,0.0,0.0,0.0,0.0
